id,name
161,Inwood-207 St
162,190 St
163,175 St
164,42 St/Port Authority Bus Terminal
165,W 4 St-Washington Sq
166,High St
167,Jay St-MetroTech
168,Hoyt-Schermerhorn
169,Utica Av
170,Broadway Junction
171,Euclid Av
172,Grant Av
173,80 St
174,88 St
175,Rockaway Blvd
176,104 St
177,Ozone Pk-Lefferts Boulevard
178,Aqueduct Racetrack
179,Aqueduct-North Conduit Av
180,Howard Beach-JFK Airport
181,Broad Channel
182,Beach 67 St
183,Beach 60 St
184,Beach 44 St
185,Beach 36 St
186,Beach 25 St
187,Far Rockaway-Mott Av
188,Beach 90 St
189,Beach 98 St
190,Beach 105 St
191,Rockaway Park-Beach 116 St
192,Bedford Park Blvd
193,182-183 Sts
194,Tremont Av
195,174-175 Sts
196,155 St
197,81 St-Museum of Natural History
198,7 Av
199,47-50 Sts-Rockefeller Ctr
200,42 St-Bryant Park
201,34 St-Herald Sq
202,Broadway-Lafayette St
203,Grand St
204,DeKalb Av
205,Prospect Park
206,Newkirk Plaza
207,Kings Hwy
208,Sheepshead Bay
209,Brighton Beach
210,163 St-Amsterdam Av
211,W 4-Washington Sq
212,Lafayette Av
213,Clinton-Washington Avs
214,Franklin Av
215,Kingston-Throop Avs
216,Ralph Av
217,Liberty Av
218,Shepherd Av
219,Norwood-205 St
220,42 St-Bryant Pk
221,36 St
222,9 Av
223,Fort Hamilton Pkwy
224,55 St
225,62 St
226,71 St
227,18 Av
228,20 Av
229,Bay Pkwy
230,25 Av
231,Bay-50 St
232,Coney Island-Stillwell Av
233,Jamaica Center-Parsons/Archer
234,Sutphin Blvd-Archer Av-JFK Airport
235,Jamaica-Van Wyck
236,Briarwood
237,Kew Gardens-Union Tpke
238,75 Av
239,Forest Hills-71 Av
240,Jackson Hts-Roosevelt Av
241,Queens Plaza
242,Court Sq-23 St
243,Lexington Av/53 St
244,5 Av/53 St
245,World Trade Center
246,Jamaica-179 St
247,169 St
248,Parsons Blvd
249,Sutphin Blvd
250,21 St-Queensbridge
251,Roosevelt Island
252,Lexington Av/63 St
253,57 St
254,47-50 Sts Rockefeller Ctr
255,2 Av
256,Delancey St-Essex St
257,East Broadway
258,York St
259,Carroll St
260,Smith-9 Sts
261,4 Av-9 St
262,15 St-Prospect Park
263,Ditmas Av
264,Avenue I
265,Avenue N
266,Avenue P
267,Avenue U
268,Avenue X
